#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000763245.3	PRJNA224116	SAMN02947975		na	287	287	Pseudomonas aeruginosa	strain=CCBH4851		latest	Complete Genome	Major	Full	2020/03/04	ASM76324v3	Instituto Oswaldo Cruz	GCA_000763245.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/763/245/GCF_000763245.3_ASM76324v3		
GCF_000783275.1	PRJNA224116	SAMN03014600	JRAU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PDR		latest	Scaffold	Major	Full	2014/11/14	ASM78327v1	China CDC	GCA_000783275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/275/GCF_000783275.1_ASM78327v1		
GCF_000786565.1	PRJNA224116	SAMN03031237	JRGP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PS3		latest	Contig	Major	Full	2014/11/24	ASM78656v1	University of Huddersfield	GCA_000786565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/786/565/GCF_000786565.1_ASM78656v1		
GCF_000789485.1	PRJNA224116	SAMN03105746	JTMX00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE15049		latest	Scaffold	Major	Full	2014/12/04	AZPAE15049	AstraZeneca	GCA_000789485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/485/GCF_000789485.1_AZPAE15049		
GCF_000789495.1	PRJNA224116	SAMN03105732	JTNL00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE15035		latest	Scaffold	Major	Full	2014/12/04	AZPAE15035	AstraZeneca	GCA_000789495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/495/GCF_000789495.1_AZPAE15035		
GCF_000789525.1	PRJNA224116	SAMN03105607	JTSG00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14909		latest	Scaffold	Major	Full	2014/12/04	AZPAE14909	AstraZeneca	GCA_000789525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/525/GCF_000789525.1_AZPAE14909		
GCF_000789535.1	PRJNA224116	SAMN03105627	JTRM00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14929		latest	Scaffold	Major	Full	2014/12/04	AZPAE14929	AstraZeneca	GCA_000789535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/535/GCF_000789535.1_AZPAE14929		
GCF_000789545.1	PRJNA224116	SAMN03105616	JTRX00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14918		latest	Scaffold	Major	Full	2014/12/04	AZPAE14918	AstraZeneca	GCA_000789545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/545/GCF_000789545.1_AZPAE14918		
GCF_000789555.1	PRJNA224116	SAMN03105541	JTUU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14840		latest	Scaffold	Major	Full	2014/12/04	AZPAE14840	AstraZeneca	GCA_000789555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/555/GCF_000789555.1_AZPAE14840		
GCF_000789605.1	PRJNA224116	SAMN03105542	JTUT00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14841		latest	Scaffold	Major	Full	2014/12/04	AZPAE14841	AstraZeneca	GCA_000789605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/605/GCF_000789605.1_AZPAE14841		
GCF_000789625.1	PRJNA224116	SAMN03105543	JTUS00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14842		latest	Scaffold	Major	Full	2014/12/04	AZPAE14842	AstraZeneca	GCA_000789625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/625/GCF_000789625.1_AZPAE14842		
GCF_000789635.1	PRJNA224116	SAMN03105544	JTUR00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14843		latest	Scaffold	Major	Full	2014/12/04	AZPAE14843	AstraZeneca	GCA_000789635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/635/GCF_000789635.1_AZPAE14843		
GCF_000789645.1	PRJNA224116	SAMN03105733	JTNK00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE15036		latest	Scaffold	Major	Full	2014/12/04	AZPAE15036	AstraZeneca	GCA_000789645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/645/GCF_000789645.1_AZPAE15036		
GCF_000789685.1	PRJNA224116	SAMN03105545	JTUQ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14844		latest	Scaffold	Major	Full	2014/12/04	AZPAE14844	AstraZeneca	GCA_000789685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/685/GCF_000789685.1_AZPAE14844		
GCF_000789705.1	PRJNA224116	SAMN03105546	JTUP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14845		latest	Scaffold	Major	Full	2014/12/04	AZPAE14845	AstraZeneca	GCA_000789705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/705/GCF_000789705.1_AZPAE14845		
GCF_000789725.1	PRJNA224116	SAMN03105639	JTRA00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14941		latest	Scaffold	Major	Full	2014/12/04	AZPAE14941	AstraZeneca	GCA_000789725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/725/GCF_000789725.1_AZPAE14941		
GCF_000789745.1	PRJNA224116	SAMN03105547	JTUO00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14846		latest	Scaffold	Major	Full	2014/12/04	AZPAE14846	AstraZeneca	GCA_000789745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/745/GCF_000789745.1_AZPAE14846		
GCF_000789755.1	PRJNA224116	SAMN03105548	JTUN00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14847		latest	Scaffold	Major	Full	2014/12/04	AZPAE14847	AstraZeneca	GCA_000789755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/755/GCF_000789755.1_AZPAE14847		
GCF_000789785.1	PRJNA224116	SAMN03105550	JTUL00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14850		latest	Scaffold	Major	Full	2014/12/04	AZPAE14850	AstraZeneca	GCA_000789785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/785/GCF_000789785.1_AZPAE14850		
GCF_000789805.1	PRJNA224116	SAMN03105549	JTUM00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14848		latest	Scaffold	Major	Full	2014/12/04	AZPAE14848	AstraZeneca	GCA_000789805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/805/GCF_000789805.1_AZPAE14848		
GCF_000789815.1	PRJNA224116	SAMN03105617	JTRW00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14919		latest	Scaffold	Major	Full	2014/12/04	AZPAE14919	AstraZeneca	GCA_000789815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/815/GCF_000789815.1_AZPAE14919		
GCF_000789835.1	PRJNA224116	SAMN03105551	JTUK00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14851		latest	Scaffold	Major	Full	2014/12/04	AZPAE14851	AstraZeneca	GCA_000789835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/835/GCF_000789835.1_AZPAE14851		
GCF_000789845.1	PRJNA224116	SAMN03105552	JTUJ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14852		latest	Scaffold	Major	Full	2014/12/04	AZPAE14852	AstraZeneca	GCA_000789845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/845/GCF_000789845.1_AZPAE14852		
GCF_000789885.1	PRJNA224116	SAMN03105613	JTSA00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14915		latest	Scaffold	Major	Full	2014/12/04	AZPAE14915	AstraZeneca	GCA_000789885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/885/GCF_000789885.1_AZPAE14915		
GCF_000789905.1	PRJNA224116	SAMN03105553	JTUI00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14853		latest	Scaffold	Major	Full	2014/12/04	AZPAE14853	AstraZeneca	GCA_000789905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/905/GCF_000789905.1_AZPAE14853		
GCF_000789925.1	PRJNA224116	SAMN03105554	JTUH00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14855		latest	Scaffold	Major	Full	2014/12/04	AZPAE14855	AstraZeneca	GCA_000789925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/925/GCF_000789925.1_AZPAE14855		
GCF_000789935.1	PRJNA224116	SAMN03105734	JTNJ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE15037		latest	Scaffold	Major	Full	2014/12/04	AZPAE15037	AstraZeneca	GCA_000789935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/935/GCF_000789935.1_AZPAE15037		
GCF_000789965.1	PRJNA224116	SAMN03105555	JTUG00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14856		latest	Scaffold	Major	Full	2014/12/04	AZPAE14856	AstraZeneca	GCA_000789965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/965/GCF_000789965.1_AZPAE14856		
GCF_000789975.1	PRJNA224116	SAMN03105608	JTSF00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14910		latest	Scaffold	Major	Full	2014/12/04	AZPAE14910	AstraZeneca	GCA_000789975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/975/GCF_000789975.1_AZPAE14910		
GCF_000789995.1	PRJNA224116	SAMN03105556	JTUF00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14857		latest	Scaffold	Major	Full	2014/12/04	AZPAE14857	AstraZeneca	GCA_000789995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/995/GCF_000789995.1_AZPAE14857		
GCF_000790025.1	PRJNA224116	SAMN03105557	JTUE00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14858		latest	Scaffold	Major	Full	2014/12/04	AZPAE14858	AstraZeneca	GCA_000790025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/025/GCF_000790025.1_AZPAE14858		
GCF_000790035.1	PRJNA224116	SAMN03105558	JTUD00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14859		latest	Scaffold	Major	Full	2014/12/04	AZPAE14859	AstraZeneca	GCA_000790035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/035/GCF_000790035.1_AZPAE14859		
GCF_000790065.1	PRJNA224116	SAMN03105559	JTUC00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14860		latest	Scaffold	Major	Full	2014/12/04	AZPAE14860	AstraZeneca	GCA_000790065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/065/GCF_000790065.1_AZPAE14860		
GCF_000790085.1	PRJNA224116	SAMN03105560	JTUB00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14861		latest	Scaffold	Major	Full	2014/12/04	AZPAE14861	AstraZeneca	GCA_000790085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/085/GCF_000790085.1_AZPAE14861		
GCF_000790105.1	PRJNA224116	SAMN03105561	JTUA00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14862		latest	Scaffold	Major	Full	2014/12/04	AZPAE14862	AstraZeneca	GCA_000790105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/105/GCF_000790105.1_AZPAE14862		
GCF_000790115.1	PRJNA224116	SAMN03105735	JTNI00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE15038		latest	Scaffold	Major	Full	2014/12/04	AZPAE15038	AstraZeneca	GCA_000790115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/115/GCF_000790115.1_AZPAE15038		
GCF_000790145.1	PRJNA224116	SAMN03105562	JTTZ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14863		latest	Scaffold	Major	Full	2014/12/04	AZPAE14863	AstraZeneca	GCA_000790145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/145/GCF_000790145.1_AZPAE14863		
GCF_000790155.1	PRJNA224116	SAMN03105563	JTTY00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14864		latest	Scaffold	Major	Full	2014/12/04	AZPAE14864	AstraZeneca	GCA_000790155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/155/GCF_000790155.1_AZPAE14864		
GCF_000790185.1	PRJNA224116	SAMN03105564	JTTX00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14865		latest	Scaffold	Major	Full	2014/12/04	AZPAE14865	AstraZeneca	GCA_000790185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/185/GCF_000790185.1_AZPAE14865		
GCF_000790205.1	PRJNA224116	SAMN03105565	JTTW00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14866		latest	Scaffold	Major	Full	2014/12/04	AZPAE14866	AstraZeneca	GCA_000790205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/205/GCF_000790205.1_AZPAE14866		
GCF_000790215.1	PRJNA224116	SAMN03105566	JTTV00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14867		latest	Scaffold	Major	Full	2014/12/04	AZPAE14867	AstraZeneca	GCA_000790215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/215/GCF_000790215.1_AZPAE14867		
GCF_000790245.1	PRJNA224116	SAMN03105567	JTTU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14868		latest	Scaffold	Major	Full	2014/12/04	AZPAE14868	AstraZeneca	GCA_000790245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/245/GCF_000790245.1_AZPAE14868		
GCF_000790265.1	PRJNA224116	SAMN03105568	JTTT00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14869		latest	Scaffold	Major	Full	2014/12/04	AZPAE14869	AstraZeneca	GCA_000790265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/265/GCF_000790265.1_AZPAE14869		
GCF_000790285.1	PRJNA224116	SAMN03105743	JTNA00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE15046		latest	Scaffold	Major	Full	2014/12/04	AZPAE15046	AstraZeneca	GCA_000790285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/285/GCF_000790285.1_AZPAE15046		
GCF_000790305.1	PRJNA224116	SAMN03105569	JTTS00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14870		latest	Scaffold	Major	Full	2014/12/04	AZPAE14870	AstraZeneca	GCA_000790305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/305/GCF_000790305.1_AZPAE14870		
GCF_000790325.1	PRJNA224116	SAMN03105570	JTTR00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14871		latest	Scaffold	Major	Full	2014/12/04	AZPAE14871	AstraZeneca	GCA_000790325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/325/GCF_000790325.1_AZPAE14871		
GCF_000790345.1	PRJNA224116	SAMN03105736	JTNH00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE15039		latest	Scaffold	Major	Full	2014/12/04	AZPAE15039	AstraZeneca	GCA_000790345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/345/GCF_000790345.1_AZPAE15039		
GCF_000790355.1	PRJNA224116	SAMN03105571	JTTQ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14872		latest	Scaffold	Major	Full	2014/12/04	AZPAE14872	AstraZeneca	GCA_000790355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/355/GCF_000790355.1_AZPAE14872		
GCF_000790385.1	PRJNA224116	SAMN03105572	JTTP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14873		latest	Scaffold	Major	Full	2014/12/04	AZPAE14873	AstraZeneca	GCA_000790385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/385/GCF_000790385.1_AZPAE14873		
GCF_000790405.1	PRJNA224116	SAMN03105573	JTTO00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14874		latest	Scaffold	Major	Full	2014/12/04	AZPAE14874	AstraZeneca	GCA_000790405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/405/GCF_000790405.1_AZPAE14874		
GCF_000790425.1	PRJNA224116	SAMN03105574	JTTN00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14875		latest	Scaffold	Major	Full	2014/12/04	AZPAE14875	AstraZeneca	GCA_000790425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/425/GCF_000790425.1_AZPAE14875		
GCF_000790445.1	PRJNA224116	SAMN03105575	JTTM00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14876		latest	Scaffold	Major	Full	2014/12/04	AZPAE14876	AstraZeneca	GCA_000790445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/445/GCF_000790445.1_AZPAE14876		
GCF_000790465.1	PRJNA224116	SAMN03105739	JTNE00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE15042		latest	Scaffold	Major	Full	2014/12/04	AZPAE15042	AstraZeneca	GCA_000790465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/465/GCF_000790465.1_AZPAE15042		
GCF_000790485.1	PRJNA224116	SAMN03105576	JTTL00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14877		latest	Scaffold	Major	Full	2014/12/04	AZPAE14877	AstraZeneca	GCA_000790485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/485/GCF_000790485.1_AZPAE14877		
GCF_000790505.1	PRJNA224116	SAMN03105577	JTTK00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14878		latest	Scaffold	Major	Full	2014/12/04	AZPAE14878	AstraZeneca	GCA_000790505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/505/GCF_000790505.1_AZPAE14878		
GCF_000790525.1	PRJNA224116	SAMN03105578	JTTJ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14879		latest	Scaffold	Major	Full	2014/12/04	AZPAE14879	AstraZeneca	GCA_000790525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/525/GCF_000790525.1_AZPAE14879		
GCF_000790545.1	PRJNA224116	SAMN03105579	JTTI00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14880		latest	Scaffold	Major	Full	2014/12/04	AZPAE14880	AstraZeneca	GCA_000790545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/545/GCF_000790545.1_AZPAE14880		
GCF_000790565.1	PRJNA224116	SAMN03105580	JTTH00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14881		latest	Scaffold	Major	Full	2014/12/04	AZPAE14881	AstraZeneca	GCA_000790565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/565/GCF_000790565.1_AZPAE14881		
GCF_000790585.1	PRJNA224116	SAMN03105721	JTNW00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE15024		latest	Scaffold	Major	Full	2014/12/04	AZPAE15024	AstraZeneca	GCA_000790585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/585/GCF_000790585.1_AZPAE15024		
GCF_000790605.1	PRJNA224116	SAMN03105581	JTTG00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14882		latest	Scaffold	Major	Full	2014/12/04	AZPAE14882	AstraZeneca	GCA_000790605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/605/GCF_000790605.1_AZPAE14882		
GCF_000790625.1	PRJNA224116	SAMN03105750	JTMT00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE15053		latest	Scaffold	Major	Full	2014/12/04	AZPAE15053	AstraZeneca	GCA_000790625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/625/GCF_000790625.1_AZPAE15053		
GCF_000790645.1	PRJNA224116	SAMN03105582	JTTF00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14883		latest	Scaffold	Major	Full	2014/12/04	AZPAE14883	AstraZeneca	GCA_000790645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/645/GCF_000790645.1_AZPAE14883		
GCF_000790655.1	PRJNA224116	SAMN03105583	JTTE00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14884		latest	Scaffold	Major	Full	2014/12/04	AZPAE14884	AstraZeneca	GCA_000790655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/655/GCF_000790655.1_AZPAE14884		
GCF_000790685.1	PRJNA224116	SAMN03105584	JTTD00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14885		latest	Scaffold	Major	Full	2014/12/04	AZPAE14885	AstraZeneca	GCA_000790685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/685/GCF_000790685.1_AZPAE14885		
GCF_000790705.1	PRJNA224116	SAMN03105585	JTTC00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AZPAE14886		latest	Scaffold	Major	Full	2014/12/04	AZPAE14886	AstraZeneca	GCA_000790705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/790/705/GCF_000790705.1_AZPAE14886		
